instrument,instrumentLabel,image
http://www.wikidata.org/entity/Q961470,A♭ clarinet,http://commons.wikimedia.org/wiki/Special:FilePath/Piccolo%20Clarinet%20in%20A-flat%20MET%20MUS315A7.jpg
http://www.wikidata.org/entity/Q963334,hi-hat,http://commons.wikimedia.org/wiki/Special:FilePath/Hi-hat.jpg
http://www.wikidata.org/entity/Q996531,post horn,http://commons.wikimedia.org/wiki/Special:FilePath/Posthorn-echt.jpg
http://www.wikidata.org/entity/Q1001877,flageolet,http://commons.wikimedia.org/wiki/Special:FilePath/Flageolets.jpg
http://www.wikidata.org/entity/Q1024685,cabasa,http://commons.wikimedia.org/wiki/Special:FilePath/Cabasa.jpg
http://www.wikidata.org/entity/Q1044408,psaltery,http://commons.wikimedia.org/wiki/Special:FilePath/Chiesa%20di%20San%20Maurizio%20-%20Salterio%20-%20Scuola%20Veniziana%20-%201700.jpg
http://www.wikidata.org/entity/Q1048934,pommer,http://commons.wikimedia.org/wiki/Special:FilePath/Pommerenriet.jpg
http://www.wikidata.org/entity/Q1060334,chalumeau,http://commons.wikimedia.org/wiki/Special:FilePath/Pocketinos.jpg
http://www.wikidata.org/entity/Q1075560,chocalho,http://commons.wikimedia.org/wiki/Special:FilePath/Chocalho.JPG
http://www.wikidata.org/entity/Q1093290,cittern,http://commons.wikimedia.org/wiki/Special:FilePath/Cistre%2C%20s.%20XVI%2C%20MDMB%20331.jpg
http://www.wikidata.org/entity/Q1094813,pochette,http://commons.wikimedia.org/wiki/Special:FilePath/Pochette%20MET%20DP225415.jpg
http://www.wikidata.org/entity/Q1095084,Tromba marina,http://commons.wikimedia.org/wiki/Special:FilePath/Tromba%20marina%20mersenne%20001.jpg
http://www.wikidata.org/entity/Q1129422,morin khuur,http://commons.wikimedia.org/wiki/Special:FilePath/Mongolian%20horse%20violin.JPG
http://www.wikidata.org/entity/Q191823,clavichord,http://commons.wikimedia.org/wiki/Special:FilePath/Clavichord%20MET%20DP302629.jpg
http://www.wikidata.org/entity/Q2539852,Tutankhamun's trumpets,http://commons.wikimedia.org/wiki/Special:FilePath/Silver%20trumpet%20from%20Tutankhamun%27s%20tomb.jpg
http://www.wikidata.org/entity/Q2598011,Xeremia,http://commons.wikimedia.org/wiki/Special:FilePath/Xeremies%20de%20Mallorca.jpg
http://www.wikidata.org/entity/Q6049870,Olifant of Borradaile,http://commons.wikimedia.org/wiki/Special:FilePath/Borradaile%20Oliphant-%20DSC2276.jpg
http://www.wikidata.org/entity/Q7360425,Roland SP-404,http://commons.wikimedia.org/wiki/Special:FilePath/Sp-404sx.jpg
http://www.wikidata.org/entity/Q13200682,Waditra,http://commons.wikimedia.org/wiki/Special:FilePath/Two%20Sundanese%20Saron%20and%20a%20Gong%20Gede%20Gedhe%20in%20the%20background%20from%20a%20set%20of%20gamelan%20degung.jpg
http://www.wikidata.org/entity/Q60759326,Whistle,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Africa%2C%20Democratic%20Republic%20of%20the%20Congo%20or%20Angola%2C%20Chokwe%20people%2C%20-%20Whistle%20-%201915.443%20-%20Cleveland%20Museum%20of%20Art.tif
http://www.wikidata.org/entity/Q79475735,Whistle,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Africa%2C%20Democratic%20Republic%20of%20the%20Congo%20or%20Angola%2C%20Chokwe%20people%2C%20-%20Whistle%20-%201915.442%20-%20Cleveland%20Museum%20of%20Art.jpg
http://www.wikidata.org/entity/Q79475739,Whistle,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Africa%2C%20Democratic%20Republic%20of%20the%20Congo%20or%20Angola%2C%20Chokwe%20people%2C%20-%20Whistle%20-%201915.444%20-%20Cleveland%20Museum%20of%20Art.tif
http://www.wikidata.org/entity/Q79475752,Whistle,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Africa%2C%20Democratic%20Republic%20of%20the%20Congo%20or%20Angola%2C%20Chokwe%20people%2C%20-%20Whistle%20-%201915.454%20-%20Cleveland%20Museum%20of%20Art.jpg
